"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 17:44:03 ART 2023","Tue Dec 12 17:44:15 ART 2023","12023","firefox","fieldsVerifyLogin.spec.ts","","","","Verificacion de campos en login",""
"failed","Tue Dec 12 17:45:35 ART 2023","Tue Dec 12 17:45:46 ART 2023","10265","webkit","regressionHome.test.spec.ts","","","","Verificacion pestaña eventos proximos y todos los eventos",""
"passed","Tue Dec 12 17:37:26 ART 2023","Tue Dec 12 17:37:40 ART 2023","14051","chromium","login.spec.ts","","","","Login exitoso de usuario registrado con rol USER",""
"passed","Tue Dec 12 18:04:38 ART 2023","Tue Dec 12 18:04:50 ART 2023","12001","firefox","globalHome.spec.ts","","","","Testing Body",""
"passed","Tue Dec 12 18:04:05 ART 2023","Tue Dec 12 18:04:08 ART 2023","3722","chromium","globalHome.spec.ts","","","","Testing Body",""
"passed","Tue Dec 12 17:38:43 ART 2023","Tue Dec 12 17:38:53 ART 2023","10661","chromium","regressionFieldsVerifyMyProfileUser.spec.ts","","","","Verificacion de guardado de datos",""
"passed","Tue Dec 12 18:04:01 ART 2023","Tue Dec 12 18:04:04 ART 2023","3461","chromium","globalHome.spec.ts","","","","Testing Header",""
"passed","Tue Dec 12 17:38:30 ART 2023","Tue Dec 12 17:38:43 ART 2023","12417","chromium","regressionCreateNewCourt.spec.ts","","","","Verificacion de canchas cargadas con rol club",""
"failed","Tue Dec 12 17:44:43 ART 2023","Tue Dec 12 17:44:56 ART 2023","13673","firefox","regressionHome.test.spec.ts","","","","Verificacion pestaña eventos proximos y todos los eventos",""
"passed","Tue Dec 12 17:37:49 ART 2023","Tue Dec 12 17:38:13 ART 2023","23525","chromium","regressionCreateEvent.spec.ts","","","","Desde club - crear un evento con usuario logueado",""
"passed","Tue Dec 12 17:45:07 ART 2023","Tue Dec 12 17:45:26 ART 2023","18228","webkit","fieldsVerifyLogin.spec.ts","","","","Verificacion logica de change password desde MiPerfil",""
"passed","Tue Dec 12 17:44:29 ART 2023","Tue Dec 12 17:44:37 ART 2023","7932","firefox","fieldsVerifyRegister.spec.ts","","","","Verificacion de campos en el register",""
"failed","Tue Dec 12 18:04:32 ART 2023","Tue Dec 12 18:04:36 ART 2023","4000","firefox","globalCardEvent.spec.ts","","","","Testing VerMas Inside",""
"passed","Tue Dec 12 17:38:08 ART 2023","Tue Dec 12 17:38:30 ART 2023","21888","chromium","regressionCreateEvent.spec.ts","","","","Creacion evento desde miPerfil",""
"passed","Tue Dec 12 18:04:55 ART 2023","Tue Dec 12 18:05:09 ART 2023","14167","webkit","globalCardClub.spec.ts","","","","Testing Club Inside",""
"passed","Tue Dec 12 17:45:26 ART 2023","Tue Dec 12 17:45:41 ART 2023","14971","webkit","regressionHome.test.spec.ts","","","","Testing Labels",""
"passed","Tue Dec 12 18:04:12 ART 2023","Tue Dec 12 18:04:26 ART 2023","13822","firefox","globalCardClub.spec.ts","","","","Testing Pestaña Club",""
"passed","Tue Dec 12 17:38:13 ART 2023","Tue Dec 12 17:38:32 ART 2023","19406","chromium","regressionCreateNewCourt.spec.ts","","","","Creacion de nueva cancha con rol club",""
"failed","Tue Dec 12 17:44:48 ART 2023","Tue Dec 12 17:45:06 ART 2023","17261","firefox","verifyingReports.spec.ts","","","","Verificando funcionalidad de reportes - Rol Admin",""
"passed","Tue Dec 12 17:43:56 ART 2023","Tue Dec 12 17:44:08 ART 2023","11258","chromium","verifyingReports.spec.ts","","","","Verificando funcionalidad de reportes - Rol Admin",""
"passed","Tue Dec 12 17:38:53 ART 2023","Tue Dec 12 17:39:06 ART 2023","12333","chromium","regressionJoinEvent.spec.ts","","","","Sumarse a evento con usuario no logueado",""
"passed","Tue Dec 12 18:04:13 ART 2023","Tue Dec 12 18:04:31 ART 2023","18165","firefox","globalCardClub.spec.ts","","","","Testing Club Inside",""
"passed","Tue Dec 12 18:04:33 ART 2023","Tue Dec 12 18:04:39 ART 2023","5341","firefox","globalHome.spec.ts","","","","Testing Header",""
